#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# http://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: capGuyDemo.png (3208 x 1808)
# $TexturePacker:SmartUpdate:b1e14bfdd0977693fd8dd63ed1e44ea8:703859ae7dc1a3985746aaad0e608f90:576180a0d121e3b2a16e4e3f251dd18a$
#

mainMenu1;0;1;1;800;600;800;600;0.5;0.5
mainMenu2;0;1;603;800;600;800;600;0.5;0.5
mainMenu3;0;803;603;800;600;800;600;0.5;0.5
mainMenu4;0;1605;603;800;600;800;600;0.5;0.5
mainMenu5;0;2407;603;800;600;800;600;0.5;0.5
mainMenu6;0;1;1205;800;600;800;600;0.5;0.5
mainMenu7;0;803;1205;800;600;800;600;0.5;0.5
mainMenu8;0;1605;1205;800;600;800;600;0.5;0.5
mainMenu9;0;2407;1205;800;600;800;600;0.5;0.5
mainMenu10;0;803;1;800;600;800;600;0.5;0.5
mainMenu11;0;1605;1;800;600;800;600;0.5;0.5
mainMenu12;0;2407;1;800;600;800;600;0.5;0.5
mainMenu13;0;1605;1;800;600;800;600;0.5;0.5
mainMenu14;0;803;1;800;600;800;600;0.5;0.5
